iter	Passed	Remaining
407	6981	3285
408	7003	3270
409	7023	3255
410	7043	3239
411	7065	3224
412	7086	3208
413	7106	3192
414	7126	3176
415	7148	3161
416	7169	3146
417	7190	3130
418	7211	3115
419	7232	3099
420	7251	3083
421	7272	3067
422	7292	3051
423	7313	3035
424	7334	3020
425	7354	3004
426	7374	2987
427	7394	2971
428	7415	2956
429	7435	2939
430	7457	2924
431	7478	2908
432	7498	2892
433	7520	2876
434	7540	2860
435	7560	2843
436	7581	2827
437	7600	2811
438	7620	2794
439	7640	2778
440	7662	2762
441	7682	2746
442	7702	2729
443	7724	2713
444	7745	2697
445	7765	2681
446	7785	2664
447	7805	2648
448	7822	2630
449	7840	2613
450	7857	2596
451	7873	2578
452	7892	2561
453	7909	2543
454	7927	2526
455	7944	2508
456	7961	2491
457	7978	2473
458	7995	2456
459	8013	2439
460	8031	2421
461	8048	2404
462	8066	2386
463	8082	2369
464	8099	2351
465	8116	2334
466	8133	2316
467	8148	2298
468	8166	2280
469	8181	2262
470	8197	2245
471	8215	2227
472	8231	2210
473	8248	2192
474	8264	2174
475	8281	2157
476	8298	2139
477	8315	2122
478	8332	2104
479	8352	2088
480	8371	2070
481	8390	2054
482	8409	2037
483	8427	2019
484	8444	2002
485	8462	1985
486	8482	1968
487	8500	1951
488	8519	1933
489	8536	1916
490	8554	1898
491	8571	1881
492	8589	1864
493	8608	1847
494	8626	1829
495	8644	1812
496	8661	1795
497	8679	1777
498	8696	1760
499	8713	1742
500	8730	1725
501	8747	1707
502	8765	1690
503	8782	1672
504	8799	1655
505	8816	1637
506	8834	1620
507	8849	1602
508	8866	1585
509	8883	1567
510	8899	1549
511	8916	1532
512	8933	1515
513	8949	1497
514	8966	1479
515	8983	1462
516	9001	1445
517	9017	1427
518	9034	1409
519	9051	1392
520	9067	1374
521	9083	1357
522	9101	1339
523	9118	1322
524	9136	1305
525	9152	1287
526	9170	1270
527	9188	1252
528	9204	1235
529	9221	1217
530	9237	1200
531	9255	1183
532	9272	1165
533	9289	1148
534	9307	1130
535	9325	1113
536	9345	1096
537	9364	1079
538	9384	1062
539	9403	1044
540	9421	1027
541	9439	1010
542	9458	992
543	9478	975
544	9497	958
545	9516	941
546	9537	924
547	9558	907
548	9582	890
549	9604	873
550	9625	855
551	9647	838
552	9668	821
553	9688	804
554	9710	787
555	9732	770
556	9754	753
557	9774	735
558	9796	718
559	9817	701
560	9837	683
561	9856	666
562	9875	649
563	9893	631
564	9912	614
565	9930	596
566	9949	579
567	9967	561
568	9984	543
569	10001	526
570	10020	508
571	10037	491
572	10055	473
573	10073	456
574	10091	438
575	10109	421
576	10125	403
577	10141	385
578	10157	368
579	10174	350
580	10189	333
581	10206	315
582	10222	298
583	10238	280
584	10254	262
585	10270	245
586	10285	227
587	10303	210
588	10319	192
589	10336	175
590	10356	157
591	10372	140
592	10391	122
593	10409	105
594	10427	87
595	10445	70
596	10462	52
597	10480	35
598	10499	17
599	10517	0
